I00001|12M01|310523137.66
I00001|12M02|284715.46
I00001|12M03|486339.7
I00001|12M04|851308.61
I00001|12M11|79354482.41
I00001|12M12|79354482.41
I00001|12M13|79354482.41
I00001|12M31|228533181.13
I00001|12M32|227370000.00
I00001|12M36|203770000.00
I00001|12M37|195570000.00
I00001|12M3A|8200000.00
I00001|12M3E|8200000.00
I00001|12M3H|23600000.00
I00001|12M51|1163181.13
I00001|12M52|1163181.13
I00001|12M5A|1163181.13
I00001|12M6P|1600000
I00001|12M77|1600000
I00001|12M7S|1600000
I00001|12MB1|304287.42
I00001|12MB2|304287.42
I00001|12MB7|304287.42
I00001|12MC6|428788.15
I00001|12MC7|428788.15
I00001|12MC8|2356669.98
I00001|12MC9|1927881.83
I00001|12MFJ|17683.09
I00001|12MFP|17683.09
I00001|12MFW|17683.09
I00001|12MG1|310523137.66
I00001|12MN1|109900000.00
I00001|12MN2|109900000.00
I00001|12MR1|4130251.08
I00001|12MR2|4130251.08
I00001|12MR3|1111008.62
I00001|12MR5|2588245.78
I00001|12MR7|250644.79
I00001|12MRB|180351.89
I00001|12MTQ|7393103.99
I00001|12MTR|7393103.99
I00001|12MTS|4410000.00
I00001|12MTT|2983103.99
I00001|12MU1|189099782.59
I00001|12MU2|177175970.00
I00001|12MU4|3810292.29
I00001|12MU6|-3478467.52
I00001|12MU7|16029317.09
I00001|12MU8|4437329.27
